n_jogos_2019,rep,ade_2019,year,ade_y,excess_mm
1,42,6.1952,2025,4.8871,-1.3081
1,43,6.1952,2019,6.1952,0.0
1,43,6.1952,2021,6.4934,0.2982
1,43,6.1952,2022,4.8754,-1.3197
1,43,6.1952,2023,5.1974,-0.9977
1,43,6.1952,2024,4.9512,-1.2439
1,43,6.1952,2025,4.8871,-1.3081
1,44,6.1952,2019,6.1952,0.0
1,44,6.1952,2021,6.4934,0.2982
1,44,6.1952,2022,4.8754,-1.3197
1,44,6.1952,2023,5.1974,-0.9977
1,44,6.1952,2024,4.9512,-1.2439
1,44,6.1952,2025,4.8871,-1.3081
1,45,6.1952,2019,6.1952,0.0
1,45,6.1952,2021,6.4934,0.2982
1,45,6.1952,2022,4.8754,-1.3197
1,45,6.1952,2023,5.1974,-0.9977
1,45,6.1952,2024,4.9512,-1.2439
1,45,6.1952,2025,4.8871,-1.3081
1,46,6.1952,2019,6.1952,0.0
1,46,6.1952,2021,6.4934,0.2982
1,46,6.1952,2022,4.8754,-1.3197
1,46,6.1952,2023,5.1974,-0.9977
1,46,6.1952,2024,4.9512,-1.2439
1,46,6.1952,2025,4.8871,-1.3081
1,47,6.1952,2019,6.1952,0.0
1,47,6.1952,2021,6.4934,0.2982
1,47,6.1952,2022,4.8754,-1.3197
1,47,6.1952,2023,5.1974,-0.9977
1,47,6.1952,2024,4.9512,-1.2439
1,47,6.1952,2025,4.8871,-1.3081
1,48,6.1952,2019,6.1952,0.0
1,48,6.1952,2021,6.4934,0.2982
1,48,6.1952,2022,4.8754,-1.3197
1,48,6.1952,2023,5.1974,-0.9977
1,48,6.1952,2024,4.9512,-1.2439
1,48,6.1952,2025,4.8871,-1.3081
1,49,6.1952,2019,6.1952,0.0
1,49,6.1952,2021,6.4934,0.2982
1,49,6.1952,2022,4.8754,-1.3197
1,49,6.1952,2023,5.1974,-0.9977
1,49,6.1952,2024,4.9512,-1.2439
1,49,6.1952,2025,4.8871,-1.3081
