frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd1000_xw5000,0.000001,200.000000,1000.000000,5000.000000,robz_w200,48000,240000,13,0.062500,10,0.670000,3,6,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd200_xw2000,0.000001,400.000000,200.000000,2000.000000,robz_w200,48000,240000,34,0.104200,29,1.160000,5,10,2,10,5,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd200_xw5000,0.000001,400.000000,200.000000,5000.000000,robz_w200,48000,240000,16,0.062500,13,0.870000,3,9,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd500_xw2000,0.000001,400.000000,500.000000,2000.000000,robz_w200,48000,240000,33,0.104200,28,1.120000,5,10,2,9,5,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd500_xw5000,0.000001,400.000000,500.000000,5000.000000,robz_w200,48000,240000,16,0.062500,13,0.870000,3,9,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd1000_xw2000,0.000001,400.000000,1000.000000,2000.000000,robz_w200,48000,240000,30,0.104200,25,1.000000,5,9,2,8,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd1000_xw5000,0.000001,400.000000,1000.000000,5000.000000,robz_w200,48000,240000,13,0.062500,10,0.670000,3,6,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd200_xw2000,0.000001,600.000000,200.000000,2000.000000,robz_w200,48000,240000,34,0.104200,29,1.160000,5,10,2,10,5,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd200_xw5000,0.000001,600.000000,200.000000,5000.000000,robz_w200,48000,240000,16,0.062500,13,0.870000,3,9,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd500_xw2000,0.000001,600.000000,500.000000,2000.000000,robz_w200,48000,240000,33,0.104200,28,1.120000,5,10,2,9,5,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd500_xw5000,0.000001,600.000000,500.000000,5000.000000,robz_w200,48000,240000,16,0.062500,13,0.870000,3,9,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd1000_xw2000,0.000001,600.000000,1000.000000,2000.000000,robz_w200,48000,240000,30,0.104200,25,1.000000,5,9,2,8,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd1000_xw5000,0.000001,600.000000,1000.000000,5000.000000,robz_w200,48000,240000,13,0.062500,10,0.670000,3,6,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd200_xw2000,0.000001,1000.000000,200.000000,2000.000000,robz_w200,48000,240000,34,0.104200,29,1.160000,5,10,2,10,5,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd200_xw5000,0.000001,1000.000000,200.000000,5000.000000,robz_w200,48000,240000,16,0.062500,13,0.870000,3,9,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd500_xw2000,0.000001,1000.000000,500.000000,2000.000000,robz_w200,48000,240000,33,0.104200,28,1.120000,5,10,2,9,5,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd500_xw5000,0.000001,1000.000000,500.000000,5000.000000,robz_w200,48000,240000,16,0.062500,13,0.870000,3,9,1,3,0,0,,,,,,
