frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd200_xw2000,0.000001,200.000000,200.000000,2000.000000,robz_w200,48000,240000,95,0.354200,78,0.920000,17,17,11,26,21,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd200_xw5000,0.000001,200.000000,200.000000,5000.000000,robz_w200,48000,240000,94,0.291700,80,1.140000,14,15,16,24,19,6,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd500_xw2000,0.000001,200.000000,500.000000,2000.000000,robz_w200,48000,240000,86,0.354200,69,0.810000,17,15,10,23,18,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd500_xw5000,0.000001,200.000000,500.000000,5000.000000,robz_w200,48000,240000,87,0.291700,73,1.040000,14,13,14,23,18,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd1000_xw2000,0.000001,200.000000,1000.000000,2000.000000,robz_w200,48000,240000,65,0.291700,51,0.730000,14,9,8,16,15,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw200_cd1000_xw5000,0.000001,200.000000,1000.000000,5000.000000,robz_w200,48000,240000,65,0.229200,54,0.980000,11,10,10,17,13,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd200_xw2000,0.000001,400.000000,200.000000,2000.000000,robz_w200,48000,240000,93,0.354200,76,0.890000,17,18,10,19,21,8,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd200_xw5000,0.000001,400.000000,200.000000,5000.000000,robz_w200,48000,240000,92,0.291700,78,1.110000,14,14,15,24,19,6,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd500_xw2000,0.000001,400.000000,500.000000,2000.000000,robz_w200,48000,240000,86,0.354200,69,0.810000,17,17,9,16,19,8,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd500_xw5000,0.000001,400.000000,500.000000,5000.000000,robz_w200,48000,240000,86,0.291700,72,1.030000,14,13,13,23,18,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd1000_xw2000,0.000001,400.000000,1000.000000,2000.000000,robz_w200,48000,240000,67,0.291700,53,0.760000,14,11,7,14,14,7,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw400_cd1000_xw5000,0.000001,400.000000,1000.000000,5000.000000,robz_w200,48000,240000,64,0.229200,53,0.960000,11,9,10,17,13,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd200_xw2000,0.000001,600.000000,200.000000,2000.000000,robz_w200,48000,240000,86,0.291700,72,1.030000,14,14,8,23,18,9,,,,,,
